name,phone,location,blood_group,last_donation_date,eligible_status,anonymous_mode,full_location,latitude,longitude
Nafisa Rahman,1770378103,Tejgaon,AB-,2025-05-20,True,False,"Tejgaon, Dhaka",23.762,90.398
Shafiqul Alam,1770378104,Bashabo,AB-,2025-05-18,True,False,"Bashabo, Dhaka",23.749,90.384
Tamanna Khatun,1770378105,Khilgaon,AB-,2025-06-05,True,False,"Khilgaon, Dhaka",23.735,90.422
Rasheda Akter,1770378106,Dhanmondi,AB-,2025-04-30,True,False,"Dhanmondi, Dhaka",23.746,90.376
Fahim Reza,1770378107,Malibagh,AB-,2025-05-22,True,False,"Malibagh, Dhaka",23.746,90.415
Sohana Karim,1770378108,Vatara,AB-,2025-06-02,True,False,"Vatara, Dhaka",23.780,90.435
Arif Mia,1770378109,Mirpur,AB-,2025-05-25,True,False,"Mirpur, Dhaka",23.810,90.366
Ayesha Rahman,1770378120,Mirpur,O+,2025-07-15,True,False,"Mirpur, Dhaka",23.810,90.366
Imran Kabir,1770378121,Bashabo,A-,2025-06-30,True,False,"Bashabo, Dhaka",23.749,90.384
Shabnam Akter,1770378122,Khilgaon,B+,2025-05-25,True,False,"Khilgaon, Dhaka",23.735,90.422
Rasheda Noor,1770378123,Malibagh,O-,2025-06-10,True,False,"Malibagh, Dhaka",23.746,90.415
Tanvir Chowdhury,1770378124,Dhanmondi,AB+,2025-07-01,True,False,"Dhanmondi, Dhaka",23.746,90.376
Mim Rashid,1770378125,Banani,A+,2025-06-15,True,False,"Banani, Dhaka",23.794,90.407
Farzana Akhter,1770378126,Gulshan,B-,2025-05-20,True,False,"Gulshan, Dhaka",23.780,90.410
Arik Hossain,1770378127,Uttara,O+,2025-06-05,True,False,"Uttara, Dhaka",23.869,90.399
Sabrina Tazwar,1770378128,Khilgaon,AB-,2025-06-12,True,False,"Khilgaon, Dhaka",23.735,90.422
Nashit Karim,1770378129,Malibagh,A-,2025-07-07,True,False,"Malibagh, Dhaka",23.746,90.415
Rina Sultana,1770378130,Dhanmondi,O+,2025-06-20,True,False,"Dhanmondi, Dhaka",23.746,90.376
Tanha Islam,1770378131,Bashabo,B+,2025-07-03,True,False,"Bashabo, Dhaka",23.749,90.384
Shihab Uddin,1770378132,Mirpur,AB+,2025-06-25,True,False,"Mirpur, Dhaka",23.810,90.366
Nabila Ferdous,1770378133,Khilgaon,O-,2025-07-10,True,False,"Khilgaon, Dhaka",23.735,90.422
Rafiq Hasan,1770378134,Banani,A+,2025-06-18,True,False,"Banani, Dhaka",23.794,90.407
Emon Mia,1770378135,Malibagh,B-,2025-06-28,True,False,"Malibagh, Dhaka",23.746,90.415
Afia Noor,1770378136,Dhanmondi,O+,2025-07-05,True,False,"Dhanmondi, Dhaka",23.746,90.376
Maruf Hossain,1770378137,Gulshan,AB-,2025-06-30,True,False,"Gulshan, Dhaka",23.780,90.410
Tanjim Rahman,1770378138,Mirpur,A+,2025-07-08,True,False,"Mirpur, Dhaka",23.810,90.366
Sohana Akter,1770378139,Khilgaon,O-,2025-06-22,True,False,"Khilgaon, Dhaka",23.735,90.422
Tasin,01538854674,Malibagh,O+,2025-05-16,True,False
Shadman,01728042372,Malibagh,O+,2025-05-06,True,False
Shadman Zarif,01728042372,Malibagh,O+,2025-06-10,True,False
